,src_name,popularity,relevance_query,score_rank,score_mean
2411,equipementcgt,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
2469,etudes-et-analyses,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
821,blog-consulting-and-integration.tessi,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
3938,lemensuel,0.022222222222222223,0.0,0.9381443298969072,0.3797021764032073
5039,perf-actor,0.06666666666666667,0.0,0.915134278738767,0.3793870448288401
2042,documentation.ehesp,0.08888888888888889,0.0625,0.8412703112657469,0.37928590228407655
5297,pwc,0.17777777777777778,0.09375,0.7641637635882055,0.3787210609908378
5653,sciencespo,0.13333333333333333,0.125,0.7550983905920176,0.3787060229034737
4715,nouvelobs,0.06666666666666667,0.33333333333333337,0.5799457994579945,0.37864498644986455
5099,pinterest.cl,0.06666666666666667,0.08333333333333334,0.8297114763022694,0.3785512571875745
759,bellecour,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
3134,hku.hk,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
2767,freedomonlinecoalition,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
5203,preventirisk,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
3844,laregion,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
1886,designersinteractifs,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
2010,doc-publik.entrouvert,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
5931,st,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
6346,ubleam.and-dev,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
4935,pacte-grenoble,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
4121,lourdes,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
4807,omivvamgabon.over-blog,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
96,aca,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
4097,logos-media,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
4065,lisc.inrae,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
2649,flf,0.022222222222222223,0.25,0.6842105263157894,0.3781286549707602
2618,finance.yahoo,0.17777777777777778,0.125,0.7309700189803732,0.37794356314770483
5810,sites.google,0.2,0.19444444444444442,0.6499506462314353,0.37775803627035187
6252,toucantoco,0.1111111111111111,0.05,0.8381634714617379,0.3774876108069174
6296,trendsmap,0.044444444444444446,0.25,0.6707848837209303,0.377202842377261
525,archimag,0.17777777777777778,0.0625,0.7910015344897454,0.3769561693514537
